edge_id,source_id,source_type,source_label,target_id,target_type,target_label,relationship_type,relationship_label,event_count,first_seen,last_seen,risk_score,source_index,source_sourcetype,evidence_reference
edge:a2b9da7613b7,alert:privileged_login_anomaly,alert,Privileged Login Anomaly,user:jsmith,user,J Smith,TRIGGERED,Triggered,3,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,78,graphlens_relationships,graphlens:relationship,edge:a2b9da7613b7
edge:d9b729cd67ab,user:jsmith,user,J Smith,host:srv-app01.example.com,host,srv-app01.example.com,AUTHENTICATED_TO,Authenticated to,12,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,62,graphlens_relationships,graphlens:relationship,edge:d9b729cd67ab
edge:841a88be8355,host:srv-app01.example.com,host,srv-app01.example.com,process:sha256:9f1c2e7a4b3d,process,powershell.exe,RAN_PROCESS,Ran process,5,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,70,graphlens_relationships,graphlens:relationship,edge:841a88be8355
edge:470e441d335a,process:sha256:9f1c2e7a4b3d,process,powershell.exe,ip:203.0.113.44,ip,203.0.113.44,CONNECTED_TO,Connected to,8,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,81,graphlens_relationships,graphlens:relationship,edge:470e441d335a
edge:4ef889ea3126,ip:203.0.113.44,ip,203.0.113.44,domain:updates.example-cdn.test,domain,updates.example-cdn.test,RESOLVED_TO,Resolved to,4,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,55,graphlens_relationships,graphlens:relationship,edge:4ef889ea3126
edge:7185e2302b2d,domain:updates.example-cdn.test,domain,updates.example-cdn.test,threat_indicator:ioc-8827,threat_indicator,IOC-8827,ASSOCIATED_WITH_INDICATOR,Associated with indicator,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,91,graphlens_relationships,graphlens:relationship,edge:7185e2302b2d
edge:70dd9a56feb7,dashboard:security_posture,dashboard,Security Posture,savedsearch:privileged_login,savedsearch,Privileged Login,REFERENCES,References,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,10,graphlens_relationships,graphlens:relationship,edge:70dd9a56feb7
edge:18bc45a4fc44,savedsearch:privileged_login,savedsearch,Privileged Login,macro:graphlens_valid_id,macro,graphlens_valid_id,USES_MACRO,Uses macro,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,5,graphlens_relationships,graphlens:relationship,edge:18bc45a4fc44
edge:7cc83e7e9e8a,savedsearch:privileged_login,savedsearch,Privileged Login,lookup:graphlens_node_types,lookup,graphlens_node_types,USES_LOOKUP,Uses lookup,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,5,graphlens_relationships,graphlens:relationship,edge:7cc83e7e9e8a
edge:05c8aea9578d,savedsearch:privileged_login,savedsearch,Privileged Login,data_model:authentication,data_model,Authentication,BUILT_FROM,Built from,1,2026-07-15T08:00:00Z,2026-07-17T08:00:00Z,5,graphlens_relationships,graphlens:relationship,edge:05c8aea9578d
